标题,作者,来源,发表时间,文献类型
自动驾驶中的社会行动主体分析,['邱泽奇'],人民论坛·学术前沿,2021-03-15 15:32,期刊
基于生物能量学模型的尖吻鲈精准投喂管理辅助决策系统构建,"['刘晓娟', '沙宗尧', '李大鹏', '王春芳']",水生生物学报,2021-03-15 14:04,期刊
基于大数据的公路工程安全智能管控云平台构建,"['饶舰', '韩佳']",土木建筑工程信息技术,2021-03-15 11:40,期刊
营销领域人工智能研究综述,"['林子筠', '吴琼琳', '才凤艳']",外国经济与管理,2021-03-15,期刊
振兴人机交互 促进社会进步——二、智能制造领域的新问题,[''],液压与气动,2021-03-15,期刊
我国科学家构建新的农田土壤重金属污染源解析及修复方法筛选机制框架,[''],蔬菜,2021-03-15,期刊
当代三大科技与21世纪语言学,['李葆嘉'],辞书研究,2021-03-15,期刊
国家社科基金后期资助项目主持人阎锦婷简介,[''],沧州师范学院学报,2021-03-15,期刊
在RAN中使用人工智能技术：识别并解决障碍,[''],电信工程技术与标准化,2021-03-15,期刊
基于人工神经网络算法的运营商客户投诉智能分类问题研究,"['祝好', '齐磊', '顾慧琼']",电信工程技术与标准化,2021-03-15,期刊
超人移情、伴侣物种与感性复敏:后人类审美的三个层次,['王坤宇'],南京社会科学,2021-03-15,期刊
科大讯飞：以解决社会刚需为出发点发展人工智能,['张心怡'],国际品牌观察,2021-03-15,期刊
智能机器人意识问题的各种解答与我见,['韩东屏'],自然辩证法通讯,2021-03-15,期刊
编者按,['刁生富'],自然辩证法通讯,2021-03-15,期刊
预知性技术伦理消解AI科林格里奇困境的路径分析,"['文成伟', '汪姿君']",自然辩证法通讯,2021-03-15,期刊
从冲突到和谐:智能新文化环境中人机关系的伦理重构,"['徐瑞萍', '吴选红', '刁生富']",自然辩证法通讯,2021-03-15,期刊
基于PLC的水果分拣机器人动作控制优化,"['唐媛红', '刘月云']",农机化研究,2021-03-15,期刊
初中语文名著阅读方法指津,['阚冬梅'],中学教学参考,2021-03-15,期刊
浅谈在小学信息技术教学中引入人工智能的策略,['张均芳'],天天爱科学(教育前沿),2021-03-15,期刊
基于知识工程的飞机装配过程故障智能诊断技术,"['郭皓辰', '汪含', '楼林', '潘尔顺']",航空制造技术,2021-03-12 19:02,期刊
基于多任务学习的短文本实体链接方法,"['詹飞', '朱艳辉', '梁文桐', '张旭', '欧阳康', '', '', '']",计算机工程,2021-03-12 16:41,期刊
基于CiteSpace的我国绿色生态网络研究热点与趋势,"['韦宝婧', '胡希军', '朱满乐', '彭琳玉', '徐凯恒']",经济地理,2021-03-12 10:01,期刊
国内城镇开发边界研究进展的知识图谱——基于中国知网（1996—2019）数据,"['黄世鑫', '蔡云楠']",热带地理,2021-03-12 09:53,期刊
文化旅游20年来研究进展——基于CSSCI(2000-2020)数据的计量分析,['张艳萍'],现代商贸工业,2021-03-12,期刊
基于Citespace的中国乡村旅游研究分析,"['张燕', '张涛']",中国商论,2021-03-12,期刊
知识驱动的相似缺陷报告推荐方法,"['余笙', '李斌', '孙小兵', '薄莉莉', '周澄']",计算机科学,2021-03-11 17:33,期刊
异构大数据环境中高效率知识融合方法的研究,"['汪玉', '王鑫', '张淑娟', '郑国强', '赵龙', '', '']",计算机工程与应用,2021-03-11 17:06,期刊
KGDB:统一模型和语言的知识图谱数据库管理系统,"['刘宝珠', '王鑫', '柳鹏凯', '李思卓', '张小旺', '', '']",软件学报,2021-03-11,期刊
基于多源异构数据融合的初中数学知识图谱构建,"['周炫余', '唐祯', '唐丽蓉', '李璇', '卢笑']",武汉大学学报(理学版),2021-03-10 07:16,期刊
基于PCNN的工业制造领域质量文本实体关系抽取方法,"['张彤', '宋明艳', '王俊', '白洋']",信息技术与网络安全,2021-03-10,期刊
国际乡村旅游研究的学术脉络与前沿热点,"['王金伟', '张丽艳', '李明龙']",西南民族大学学报(人文社会科学版),2021-03-10,期刊
近25年来国内社会智库研究进展与趋势——基于CiteSpace的信息可视化分析,['任恒'],西南民族大学学报(人文社会科学版),2021-03-10,期刊
基于CiteSpace知识图谱分析的国内外生态城市研究进展,"['梁芳婷', '蔡云楠']",华中建筑,2021-03-10,期刊
2021年组稿方向,[''],计算机应用,2021-03-10,期刊
Improving University Faculty Evaluations via multi-view Knowledge Graph,['Lin Qika;Zhu Yifan;Lu Hao;Shi Kaize;Niu Zhendong'],Future Generation Computer Systems,2021-03-09,外文期刊
面向认知的新一代纺织智能制造体系,"['鲍劲松', '江亚南', '刘家雨']",东华大学学报(自然科学版),2021-03-08 11:18,期刊
基于知识图谱的我国农村体育研究时空特征及热点演化研究,['王雪'],浙江体育科学,2021-03-08,期刊
手语识别、翻译与生成综述,"['郭丹', '唐申庚', '洪日昌', '汪萌']",计算机科学,2021-03-08,期刊
跨媒体分析与推理技术研究综述,"['王树徽', '闫旭', '黄庆明']",计算机科学,2021-03-08,期刊
Explainable recommendation based on knowledge graph and multi-objective optimization,['Lijie Xie;Zhaoming Hu;Xingjuan Cai;Wensheng Zhang;Jinjun Chen'],Complex & Intelligent Systems,2021-03-06,外文期刊
TransPath:一种基于深度迁移强化学习的知识推理方法,"['崔员宁', '李静', '陈琰', '陆正嘉']",小型微型计算机系统,2021-03-19 15:00,期刊
基于知识图谱的长江流域内地表蒸散研究进展,"['季永月', '陈吉龙', '唐青青', '吴胜军', '晏黎明', '', '']",水资源保护,2021-03-19 14:32,期刊
村规民约研究热点及未来展望,"['赵银红', '闫萍']",石家庄学院学报,2021-03-19,期刊
基于CiteSpace的国内夜间灯光数据研究知识图谱分析,['曾冰'],测绘与空间地理信息,2021-03-19,期刊
社会网络分析在教育领域的应用,['宋佳益'],科技风,2021-03-19,期刊
An ontology-based deep learning approach for triple classification with out-of-knowledge-base entities,['Amador-Domínguez Elvira;Serrano Emilio;Manrique Daniel;Hohenecker Patrick;Lukasiewicz Thomas'],Information Sciences,2021-03-19,外文期刊
基于知识图谱嵌入的定义域值域约束补全方法,"['雷景佩', '欧阳丹彤', '张立明']",吉林大学学报(工学版),2021-03-18 15:24,期刊
煤矿装备维护知识图谱构建及应用,"['曹现刚', '张梦园', '雷卓', '段欣宇', '陈瑞昊']",工矿自动化,2021-03-18 14:40,期刊
基于知识图谱的分布式光伏运维方案匹配方法,"['欧一鸣', '苏雍贺', '靳健', '倪玮晨', '陶飞']",计算机集成制造系统,2021-03-18 12:00,期刊
基于科学知识图谱的针灸专利计量可视化研究,"['王福民', '胡远樟', '银子涵', '郭雨怡', '李智威', '', '', '']",世界科学技术-中医药现代化,2021-03-18 10:43,期刊
LncRNA与疾病关系的知识图谱构建,"['龚乐君', '杨璐', '高志宏', '李华康']",山东大学学报(工学版),2021-03-18 07:57,期刊
基于Citespace的失能老年人照护研究热点及趋势分析,"['吴宗辉', '苟翠萍', '李家聘', '戴丽']",保健医学研究与实践,2021-03-16 15:29,期刊
基于BERT的水稻表型知识图谱中关系抽取研究,"['袁培森', '李润隆', '王翀', '徐焕良']",农业机械学报,2021-03-16 11:32,期刊
1989—2018年国内作物连作障碍研究现状——基于CNKI的文献计量学分析和科学知识图谱研究,"['夏梅梅', '钟宛凌', '欧阳里山', '孙志蓉', '张子龙']",农学学报,2021-03-16,期刊
信息组织4.0时代智慧化知识组织的知识协同服务,['林晓欣'],图书馆,2021-03-15 11:07,期刊
基于知识图谱的医疗管理研究可视化计量分析,['张富程'],中国医疗管理科学,2021-03-15,期刊
基于知识图谱的我国国际陆港研究综述,"['张晟义', '陈明月']",湖北经济学院学报,2021-03-15,期刊
基于多任务学习的短文本实体链接方法,"['詹飞', '朱艳辉', '梁文桐', '张旭', '欧阳康', '', '', '']",计算机工程,2021-03-12 16:41,期刊
基于CiteSpace的我国绿色生态网络研究热点与趋势,"['韦宝婧', '胡希军', '朱满乐', '彭琳玉', '徐凯恒']",经济地理,2021-03-12 10:01,期刊
国内城镇开发边界研究进展的知识图谱——基于中国知网（1996—2019）数据,"['黄世鑫', '蔡云楠']",热带地理,2021-03-12 09:53,期刊
TransPath:一种基于深度迁移强化学习的知识推理方法,"['崔员宁', '李静', '陈琰', '陆正嘉']",小型微型计算机系统,2021-03-19 15:00,期刊
基于知识图谱的长江流域内地表蒸散研究进展,"['季永月', '陈吉龙', '唐青青', '吴胜军', '晏黎明', '', '']",水资源保护,2021-03-19 14:32,期刊
村规民约研究热点及未来展望,"['赵银红', '闫萍']",石家庄学院学报,2021-03-19,期刊
基于CiteSpace的国内夜间灯光数据研究知识图谱分析,['曾冰'],测绘与空间地理信息,2021-03-19,期刊
社会网络分析在教育领域的应用,['宋佳益'],科技风,2021-03-19,期刊
An ontology-based deep learning approach for triple classification with out-of-knowledge-base entities,['Amador-Domínguez Elvira;Serrano Emilio;Manrique Daniel;Hohenecker Patrick;Lukasiewicz Thomas'],Information Sciences,2021-03-19,外文期刊
基于知识图谱嵌入的定义域值域约束补全方法,"['雷景佩', '欧阳丹彤', '张立明']",吉林大学学报(工学版),2021-03-18 15:24,期刊
煤矿装备维护知识图谱构建及应用,"['曹现刚', '张梦园', '雷卓', '段欣宇', '陈瑞昊']",工矿自动化,2021-03-18 14:40,期刊
基于知识图谱的分布式光伏运维方案匹配方法,"['欧一鸣', '苏雍贺', '靳健', '倪玮晨', '陶飞']",计算机集成制造系统,2021-03-18 12:00,期刊
基于科学知识图谱的针灸专利计量可视化研究,"['王福民', '胡远樟', '银子涵', '郭雨怡', '李智威', '', '', '']",世界科学技术-中医药现代化,2021-03-18 10:43,期刊
LncRNA与疾病关系的知识图谱构建,"['龚乐君', '杨璐', '高志宏', '李华康']",山东大学学报(工学版),2021-03-18 07:57,期刊
基于Citespace的失能老年人照护研究热点及趋势分析,"['吴宗辉', '苟翠萍', '李家聘', '戴丽']",保健医学研究与实践,2021-03-16 15:29,期刊
基于BERT的水稻表型知识图谱中关系抽取研究,"['袁培森', '李润隆', '王翀', '徐焕良']",农业机械学报,2021-03-16 11:32,期刊
1989—2018年国内作物连作障碍研究现状——基于CNKI的文献计量学分析和科学知识图谱研究,"['夏梅梅', '钟宛凌', '欧阳里山', '孙志蓉', '张子龙']",农学学报,2021-03-16,期刊
信息组织4.0时代智慧化知识组织的知识协同服务,['林晓欣'],图书馆,2021-03-15 11:07,期刊
基于知识图谱的医疗管理研究可视化计量分析,['张富程'],中国医疗管理科学,2021-03-15,期刊
基于知识图谱的我国国际陆港研究综述,"['张晟义', '陈明月']",湖北经济学院学报,2021-03-15,期刊
基于多任务学习的短文本实体链接方法,"['詹飞', '朱艳辉', '梁文桐', '张旭', '欧阳康', '', '', '']",计算机工程,2021-03-12 16:41,期刊
基于CiteSpace的我国绿色生态网络研究热点与趋势,"['韦宝婧', '胡希军', '朱满乐', '彭琳玉', '徐凯恒']",经济地理,2021-03-12 10:01,期刊
国内城镇开发边界研究进展的知识图谱——基于中国知网（1996—2019）数据,"['黄世鑫', '蔡云楠']",热带地理,2021-03-12 09:53,期刊
TransPath:一种基于深度迁移强化学习的知识推理方法,"['崔员宁', '李静', '陈琰', '陆正嘉']",小型微型计算机系统,2021-03-19 15:00,期刊
基于知识图谱的长江流域内地表蒸散研究进展,"['季永月', '陈吉龙', '唐青青', '吴胜军', '晏黎明', '', '']",水资源保护,2021-03-19 14:32,期刊
村规民约研究热点及未来展望,"['赵银红', '闫萍']",石家庄学院学报,2021-03-19,期刊
基于CiteSpace的国内夜间灯光数据研究知识图谱分析,['曾冰'],测绘与空间地理信息,2021-03-19,期刊
社会网络分析在教育领域的应用,['宋佳益'],科技风,2021-03-19,期刊
An ontology-based deep learning approach for triple classification with out-of-knowledge-base entities,['Amador-Domínguez Elvira;Serrano Emilio;Manrique Daniel;Hohenecker Patrick;Lukasiewicz Thomas'],Information Sciences,2021-03-19,外文期刊
基于知识图谱嵌入的定义域值域约束补全方法,"['雷景佩', '欧阳丹彤', '张立明']",吉林大学学报(工学版),2021-03-18 15:24,期刊
煤矿装备维护知识图谱构建及应用,"['曹现刚', '张梦园', '雷卓', '段欣宇', '陈瑞昊']",工矿自动化,2021-03-18 14:40,期刊
